excercise,category
Ab Cycle,Strength
Alternating Dumbbell Bench Press,Strength
Alternating Dumbbell Curl,Strength
Alternating Hammer Curl,Strength
Alternating Heel Touch,Strength
Alternating Leg Extension,Strength
Alternating Superman,Strength
Arnold Dumbbell Press,Strength
Assisted Dips,Strength
Assisted Pull-Up,Strength
Back Raise,Strength
Barbell Bench Press,Strength
Barbell Calf Raise,Strength
Barbell Curl,Strength
Barbell Diagonal Lunge,Strength
Barbell Front Raise,Strength
Barbell Hack Squat,Strength
Barbell Lunge,Strength
Barbell Reverse Lunge,Strength
Barbell Shoulder Press,Strength
Barbell Side Lunge,Strength
Barbell Split Squat,Strength
Barbell Squat,Strength
Barbell Step-Up,Strength
Barbell Walking Lunge,Strength
Bench Dips,Strength
Bent Knee Sit-Up,Strength
Bent-Knee Crunch,Strength
Bent-Knee Medicine Ball Hip Rotation,Strength
Bent-Knee Single-Leg Hip Lift,Strength
Bent-Over Alternating Dumbbell Row,Strength
Bent-Over Barbell Row,Strength
Bent-Over Cable Rear Delt Raise,Strength
Bent-Over Dumbbell Rear Delt Raise,Strength
Bent-Over Dumbbell Row,Strength
Bent-Over Hammer Dumbbell Row,Strength
Bent-Over Long Barbell Row,Strength
Bent-Over Reverse-Grip Barbell Row,Strength
Bent-Over Single-Arm Long Barbell Row,Strength
Bicep Curl,Strength
Bottom/Top/Full Curls,Strength
Cable Chop,Strength
Cable Crossover,Strength
Cable Curl,Strength
Cable External Rotation,Strength
Cable Fly,Strength
Cable Front Raise,Strength
Cable Lateral Raise,Strength
Calf Press,Strength
Calf Raise - Seated,Strength
Calf Raise - Standing,Strength
Chest Press,Strength
Close-Grip Bench Press,Strength
Close-Grip Lat Pulldown,Strength
Concentration Dumbbell Curl,Strength
Cross Body Hammer Curl,Strength
Cross Crunch,Strength
Cross Crunch w/ Medicine Ball,Strength
Crunch,Strength
Crunch,Strength
Deadlift,Strength
Decline Cross Sit-Up,Strength
Decline Crunch,Strength
Decline Dumbbell Bench Press,Strength
Decline Dumbbell Fly,Strength
Decline Dumbbell Triceps Extension,Strength
Decline EZ-Bar Tricep Extension,Strength
Decline Single Dumbbell Triceps Extension,Strength
Decline Single-Arm Dumbbell Triceps Extension,Strength
Decline Sit-Up,Strength
Decline Sit-Up w/ Twist,Strength
Decline Smith Machine Bench Press,Strength
Diagonal Lunge,Strength
Diamond Push-Up,Strength
Dips,Strength
Dumbbell Alternating Shoulder Press,Strength
Dumbbell Bench Press,Strength
Dumbbell Calf Raise,Strength
Dumbbell Curl,Strength
Dumbbell Diagonal Lunge,Strength
Dumbbell Fly,Strength
Dumbbell Front Raise,Strength
Dumbbell Kickback,Strength
Dumbbell Lateral Raise,Strength
Dumbbell Lunge,Strength
Dumbbell Push-Up,Strength
Dumbbell Reverse Lunge,Strength
Dumbbell Shoulder Press,Strength
Dumbbell Side Lunge,Strength
Dumbbell Split Squat,Strength
Dumbbell Squat,Strength
Dumbbell Step-Up,Strength
Dumbbell Twisting Shoulder Press,Strength
Dumbbell Walking Lunge,Strength
EZ-Bar Curl,Strength
Elevated Hip Lift,Strength
Elevated Push-Up,Strength
Elevated Single-Leg Hip Lift,Strength
Flat Bench Press,Strength
Forward Lean Dips,Strength
Forward Lunge,Strength
Front Plank (from knees),Strength
Front Plank (from toes),Strength
Front Plank (tripod - 1 arm and 2 legs or 2 legs and 1 arm),Strength
Front Plate Raise,Strength
Full Reverse Crunch,Strength
Hammer Curl,Strength
Heel Touch,Strength
High Cable Crossover,Strength
Hip Lift,Strength
Incline Alternating Dumbbell Bench Press,Strength
Incline Alternating Dumbbell Curl,Strength
Incline Alternating Hammer Curl,Strength
Incline Barbell Bench Press,Strength
Incline Bench Press,Strength
Incline Cable Fly,Strength
Incline Dumbbell Bench Press,Strength
Incline Dumbbell Curl,Strength
Incline Dumbbell Fly,Strength
Incline EZ-Bar Tricep Extension,Strength
Incline Hammer Curl,Strength
Incline Hammer Dumbbell Bench Press,Strength
Incline Hip Thrust,Strength
Incline Reverse Crunch,Strength
Incline Single-Arm Dumbbell Bench Press,Strength
Incline Smith Machine Bench Press,Strength
Incline Twisting Dumbbell Bench Press,Strength
Incline Twisting Dumbbell Fly,Strength
Inverted Pull-Up,Strength
Kneeling Ab Rollout,Strength
Kneeling Cable Curl,Strength
Kneeling Cable Triceps Extension,Strength
Kneeling Push-Up,Strength
Kneeling Single-Arm Cable Rear Delt Raise,Strength
Lat Pulldown,Strength
Lateral Barbell Squat,Strength
Lateral Barbell Step-Up,Strength
Lateral Squat,Strength
Lateral Step-Up,Strength
Leaning Overhead Tricep Extension,Strength
Leg Curl,Strength
Leg Extension,Strength
Leg Press,Strength
Low Cable Crossover,Strength
Low Cable Triceps Extension,Strength
Lunge,Strength
Lying Alternating Leg Curl,Strength
Lying Cable Curl,Strength
Lying Cable Triceps Extension,Strength
Lying Double Biceps Cable Curl,Strength
Lying Dumbbell External Rotation,Strength
Lying Dumbbell Rear Delt Raise,Strength
Lying EZ-Bar Triceps Extension,Strength
Lying High Cable Curl,Strength
Lying Hip Thrust,Strength
Lying Leg Curl,Strength
Lying Machine Squat,Strength
Lying Overhead EZ-Bar Tricep Extension,Strength
Lying Reverse EZ-Bar Triceps Extension,Strength
Lying Single Dumbbell Triceps Extension,Strength
Lying Single-Arm Dumbbell Rear Delt Raise,Strength
Lying Single-Arm Dumbbell Triceps Extension,Strength
Lying Single-Leg Curl,Strength
Lying Tricep Extensions,Strength
Machine Bench Press,Strength
Machine Curl,Strength
Machine Dips,Strength
Machine Hack Squat,Strength
Machine Row,Strength
Machine Shoulder Press,Strength
Machine Vertical Bench Press,Strength
Medicine Ball Crossover Push-Up,Strength
Medicine Ball V-Up,Strength
Not Selected,Strength
One Arm Dumbbell Row,Strength
Overhead Double Biceps Cable Curl,Strength
Overhead Dumbbell Triceps Extension,Strength
Overhead EZ-Bar Triceps Extension,Strength
Overhead Rope Cable Curl,Strength
Overhead Rope Cable Tricep Extension,Strength
Overhead Single Dumbbell Tricep Extension,Strength
Overhead Single-Arm Cable Tricep Extension,Strength
Overhead Single-Arm Dumbbell Tricep Extension,Strength
Pec Deck,Strength
